Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Qing Xiang Zi,Semen Celosiae,Celosia argentea L.,semence,douce et amère,fraîche,Zu Jue Yin Foie,Elimine le feu du Foie / Disperse le vent-chaleur / Calme et descend le Yang du Foie ascendant / Clarifie la vue,"Feu du Foie ou vent-chaleur causant les yeux rouges, gonflés, douloureux, l’obstruction visuelle superficielle et la cataracte. / Yang ou feu du Foie ascendant avec la céphalée ou éblouissements.","Plus Xia Ku Cao, Spica Prunellae et Ju Hua, Flos- Chrysanthemi Morifolii pour le feu du Foie causant le vertige. / Plus Ju Hua, Flos Chrysanthemi Morifolii et Long Dan Cao, Radix Gentianae Scabrae pour les yeux douloureux, gonflés et rouges par le feu du Foie. / Plus Jue Ming Zi, Semen Cassiae et Mi Meng Hua, Flos Buddleiae pour la vision défectueuse.",3 à 15 g en décoction; utiliser concassé.,,ne pas utiliser chez des patients souffrant de dilatation des pupilles. Troubles oculaires causés par le vide du Foie et du Rein.,hypotenseur.,Qing Xiang Tang,
Xiong Dan,Fel Ursi,Selenarctos thibetanus G. Cuvier,vésicule,amère,froide,"Zu Jue Yin Foie, Zu Shao Yang Vésicule Biliaire, Zu Tai Yin Rate, Zu Yang Ming Estomac",Clarifie la chaleur / Calme les spasmes / Elimine les toxiques / Eclaircit les yeux / Réduit les enflures et la douleur,en application externe,"Plus Bing Pian, Borneolum pour le gonflement, la douleur et l’inflammation des conjonctives et l’obstruction superficielle de la vision. / Plus Yin Chen Hao, Herba Artemisiae Capillaris pour l’hépatite et le coma hépatique","0,15 à 0,30 g en pilule ou en poudre.",,,"antispasmodique, détoxifiant, hypotenseur, antitussif.","ne pas combiner avec Sheng Di Huang, Radix Rehmanniae et Fang Ji, Radix Stephaniae Tetrandrae. Etant donné la rareté du produit, il est conseillé de le remplacer par la vésicule biliaire du bovidé (Niu Dan). / Ye Ming Sha / Excrementum Vespertiiii",
Ye Ming Sha,Excrementum Vespertiiii,Vespertilius Murinus L.,excréments,piquante,froide,Zu Jue Yin Foie,Clarifie le Foie / Favorise les yeux,"□ Chaleur du Foie causant la nyctalopie, l’obstruction superficielle de la vision, la cataracte;","□ Plus Shi Jue Ming, Concha Haliotidis pour les troubles de la vision.",3 à 9 g en décoction,,prudence pendant la grossesse,,,
Mu Dan Pi,Cortex Moutan Radicis,Paeonia suffruticosa Andr.,écorce,piquante et amère,fraîche,"Shou Shao Yin Coeur, Zu Jue Yin Foie et Zu Shao Yin Reins",Clarifie la chaleur / Rafraîchit le Sang / Clarifie le feu vide / Active la circulation du Sang / Lève les stagnations de Sang / Elimine le feu du Foie ascendant / Draine le pus et diminue l’enflure,"Chaleur épidémique pénétrant dans le Sang et causant l’épistaxis, les expectorations sanguinolentes, l’hématémèse, l’hémorragie sous-cutanée. / Vide de Yin avec évaporation de chaleur des os, principalement quand il n’y a pas de transpiration. / Stagnation de Sang du Foie causant l’aménorrhée, la formation de masses dures. / Stagnations de Sang causées par des traumatismes. / Feu du Foie ascendant avec céphalée, douleur oculaire, douleurs costales, bouffées de chaleur, dysménorrhée. / Abcès intestinaux.","Plus Tao Ren, Semen Persicae, Gui Zhi, Ramulus Cinnamomi, Fu Ling, Sclerotium Poriae, Chi Shao, Radix Paeoniae Rubrae pour la stagnation de Sang du Foie avec aménorrhée, dysménorrhée, masses abdominales. / Plus Chi Shao, Radix Paeoniae Rubrae pour l’hématémèse par chaleur épidémique lésant le Ying et le Sang. / Plus Bai Mao Gen, Rhizoma Imperâtae pour le sang dans l’urine, le vomissement de sang et l’épistaxis par chaleur épidémique. / Plus Qing Hao, Herba Artemisiae Apiaceae pour le syndrome de l’évaporation de chaleur des os. / Plus Bie Jia, Carapax Amydae, Zhi Mu, Rhizoma Anemarrhenae et Sheng Di Huang, Radix Rehmanniae pour la fièvre nocturne et la fièvre vespérale récurrente causées par la chaleur épidémique cachée dans le Ying ou la chaleur par vide de Yin. / Plus Tao Ren, Semen Persicae. pour la douleur consécutive aux lésions traumatiques ou la douleur abdominale et l’aménorrhée par accumulation sanguine. / Plus Gui Zhi, Ramulus Cinnamomi pour la douleur de la poitrine et de l’abdomen par stase de Sang obstruant les méridiens. / Plus Da Huang, Radix et Rhizoma Rhei pour la douleur, la constipation et la fièvre causées par un abcès intestinal non purulent. / Plus Ju Hua, Flos Chrysanthemi Morifolii pour les éblouissements, le vertige et les yeux rouges et gonflés par feu du Foie ascendant. / Plus Jin Yin Hua, Flos Lonicerae et Lian Qiao, Fructus Forsythiae pour les furoncles. / Plus Ce Bai Ye, Cacumen Biotae, Zi Cao, Radix Lithospermi, Zhi Zi, Fructus Gardeniae, Bai Mao Gen, Rhizoma Imperatae pour les hémorragies par la chaleur du Sang.",6 à 12 g en décoction.,,froid; grossesse; hyperménorrhée; vide de Yin avec transpiration importante.,"bactéricide, sédatif, analgésique, anticonvulsif, antipyrétique, hypotenseur.",Qing Hao Bie Jia Tang / Gui Zhi Fu Ling Wan / Da Huang Mu Dan Pi Tang / Liu Wei Di Huang Wan / Jin Gui Shen Qi Wan.,
Sheng Di Huang,Radix Rehmanniae,Rehmannia glutinosa (Gaertn.) Libosch	.,racine	',amère et douce,froide,"Shou Shao Yin Coeur, Zu Jue Yin Foie, et Zu Shao Yin Reins",Elimine la chaleur / Rafraîchit le Sang / Nourrit le Yin / Nourrit le Sang / Produit les liquides organiques / Rafraîchit le feu du Coeur,"Chaleur épidémique entrant dans le Ying, avec fièvre, soif, langue rouge. / Chaleur épidémique entrant dans le Sang et causant des hémorragies. / Vide de Yin avec chaleur vide et lésion des liquides corporels avec bouche sèche, fièvre basse, constipation, douleurs de la gorge. / Feu du Coeur causant des aphtes, de l’irritabilité, de l’insomnie, des fièvres vespérales, des bouffées de chaleur. / Sécheresse du Poumon avec toux ou épistaxis. / Syndrome de consomption Xiao Ke (diabétiforme).","Plus E Jiao, Colla Corii Asini, pour la toux, l’hématémèse, l’épistaxis et l’hémorragie utérine causées par la chaleur vide. / Plus Xuan Shen, Radix Scrophulariae pour le vide de Yin et feu vide causant la sécheresse de la gorge, l’irritabilité, une langue rouge et un pouls fin et rapide. Egalement pour la chaleur pénétrant dans le Ying avec soif excessive, agitation et langue écarlate. / Plus Bai Shao, Radix Paeoniae Albae pour la chaleur causée par le vide de Sang. / Plus Bai Shao, Radix Paeoniae Albae et Di Yu, Radix Sanguisorbae pour le sang dans l’urine, le vomissement de sang et l’épistaxis causés par la chaleur dans le Sang. / Plus Shu Di Huang, Radix Rehmanniae Praeparata, pour la chaleur par vide de Yin et de Sang.",9 à 30 g en décoction.,,"vide de Rate et Estomac, vide de Yang, glaires-humidité, femmes enceintes avec vide de Sang, vide de Rate et d’Estomac. En début d’utilisation il peut y avoir de la diarrhée. Celle-ci peut disparaître automatiquement après quelques jours. Si ce n’est le cas, il faut suspendre l’utilisation du Sheng Di Huang ou éventuellement le remplacer par le He Shou Wu, Radix Polygoni Multiflori ou le Zhi Shou Wu (Hei Dou) Radix Polygoni Multiflori cum soja nigra praeparata. L’addition de Sha Ren, Fructus Amomi peut aider à éviter la diarrhée causée par le Sheng Di Huang.","fongicide, hypoglycémiant, diurétique, antirhumatismal, bactéricide, hypotenseur, hémostatique, coagulant sanguin, anti-inflammatoire.","Sheng Di Huang peut être rencontré sous deux variantes: d’une part le Gan Di Huang, la racine de Rehmannia séchée, qui est communément utilisée. D’autre part le Xian Di Huang, qui est la racine fraîche non séchée, non disponible en occident. Quand on trouve le Xian Di Huang dans une formule on peut la remplacer par le Sheng Di Huang (Gan Di Huang). / Xi Jiao",
Xi Jiao,Cornu Rhinoceri,Rhinocéros Sinus Burchell,corne,amère et salée,froide,"Shou Shao Yin Coeur, Zu Jue Yin Foie et Zu Yang Ming Estomac",Rafraîchit le Sang / Arrête le saignement / Calme le Shen / Clarifie le Coeur / Disperse le feu / Elimine les toxiques / Arrête les spasmes,"□ Chaleur épidémique entrant dans le niveau Ying et Xue et causant des vomissements de sang, épistaxis, forte fièvre, éruptions ecchymotiques, convulsions, délire, coma.","Plus Ling Yang Jiao, Cornu Antelopi pour la fièvre élevée, le délire et les convulsions causées par la chaleur épidémique. / Plus Sheng Di Huang, Radix Rehmanniae, Mu Dan Pi, Cortex Moutan Radicis, Chi Shao, Radix Paeoniae Rubrae, Da Qing Ye, Folium Isatidis et Zi Cao, Radix Lithospermi pour la chaleur dans le Sang causant l’hématémèse, l’épistaxis, le purpura. / Plus Huang Lian, Rhizoma Coptidis pour la fièvre, la perte de conscience, le délire et le purpura causés par la chaleur épidémique. / Plus Sheng Shi Gao, Gypsum Fibrosum pour la chaleur simultanée dans le Qi et le Sang.",1 à 3 g en poudre; 2 à 6 g en décoction longue.,,"antipyrétique, anticonvulsif, cardiotonique.",,"Ne pas combiner avec Chuan Wu Tou, Radix Aconiti et Cao Wu Tou, Radix Aconiti Kusnezoffii. Etant donné que le rhinocéros est un animal protégé on n’y aura pas recours. Sa corne peut être remplacée par celle du buffle d’eau, Shui Niu Jiao, Cornu Bubali, en une quantité variant de 15 à 50 g.",
Xuan Shen,Radix Scrophulariae,Scrophularia ningpoensis Hemsl.,racine,"salée, amère et douce",froide,"Shou Tai Yin Poumon, Zu Yang Ming Estomac et Zu Shao Yin Reins",Elimine la chaleur / Rafraîchit le Sang / Nourrit le Yin / Elimine les toxiques / Ramollit ce qui est dur Disperse les nodosités / Humidifie et produit des liquides / Descend le feu,"Chaleur épidémique pénétrant dans le Sang et causant des hémorragies. / Vide de Yin causé par une maladie de la chaleur épidémique avec constipation, agitation, irritabilité. / Feu et feu toxique causant les yeux rouges et gonflés ou des douleurs de gorge aiguës. / Nodosités et masses causées par l’accumulation de glaires-feu, principalement à la hauteur de la gorge.","Plus Mu Dan Pi, Cortex Moutan Radicis pour la stagnation de Sang dans l’érysipèle et les éruptions pourpres. / Plus Niu Bang Zi, Fructus Arctii pour le gonflement et la douleur de la gorge ou les éruptions pourpres causées par le vent-chaleur. / Plus Mu Li, Concha Ostreae, Zhe Bei Mu, Bulbus Fritillariae Thunbergii, Xia Ku Cao, Spica Prunellae et Zi Cao, Radix Lithospermi pour les nodules sous-cutanés tels que la scrofule et le goitre causés par les glaires-feu. / Plus Dang Gui, Radix Angelicae Sinensis, Jin Yin Hua, Flos Lonicerae et Gan Cao, Radix Glycyrrhizae pour la gangrène des doigts ou des doigts de pied. / Plus Sheng Di Huang, Radix Rehmanniae, Mai Men Dong, Tuber Ophiopogonis, Huang Qin, Radix Scutellariae et Lian Qiao, Fructus Forsythiae pour la chaleur plénitude ou vide causant le mal de gorge ou la diphtérie.",9 à 30 g en décotion.,,vide de Rate avec humidité et éventuellement diarrhée.,"hypotenseur rénal, hypoglycémique, antimycotique, antimicrobien, vasodilatateur, sédatif, antipyrétique, bactéricide.","contraire à Li Lu, Radix Veratri Nigri.",
Radix Arnebiae,Radix Lithospermi,Lithospermum erythrorhizon Sieb. et Zucc.,racine,douce et amère Nature : froide,,Shou Shao Yin Coeur et Zu Jue Yin Foie,Clarifie la chaleur / Rafraîchit le Sang / Elimine les toxiques / Active le Sang / Favorise la sortie des éruptions / Elimine la chaleur-humidité de la peau / Humidifie les Intestins / Mobilise les selles / Favorise la diurèse,Feu toxique causant des éruptions pourpre foncé. / Chaleur et feu toxique dans le Sang avec apparition irrégulière des éruptions. / Usage local dans le prurit vaginal et l’eczéma par chaleur-humidité. / Constipation par sécheresse et chaleur du Sang.,"Plus Lian Qiao, Fructus Forsythiae pour une apparition irrégulière des éruptions par chaleur épidémique. / Plus Da Qing Ye, Folium Isatidis pour les éruptions pourpres et denses par feu toxique et stase de Sang. / Plus Gua Lou Ren, Semen Trichosanthis pour les furoncles et la constipation par feu toxique interne. / Plus Huang Bai, Cortex Phellodendri en application externe sur les brûlures, les furoncles, l’eczéma.",3 à 10 g en décoction.,,rougeole avec apparition normale des éruptions; vide de Rate et d’Estomac.,"antibiotique, antinéoplastique, stimulant cardiaque.","Zi Cao représente en fait trois types botaniques différents : le Lithospermum, l’Arnebia et l’Onosma. Bien que les trois herbes présentent les mêmes caractéristiques (en Chinois elles portent d’ailleurs le même nom), c’est le Lithospermum qui représente le mieux au point de vue morphologique (forme, couleur, densité, etc.) la notion et l’énergétique de l’herbe pourpre Zi Cao. Quand on commande le Zi Cao dans une herboristerie chinoise, on reçoit en général le Radix Arnebiae. Pour désiger clairement le Lithospermum, il faut utiliser le terme Ying Zi Cao Gen, Radix Lithospermi. / Bai Hua She She Cao, Herba Oldenîandiae / Bai Jiang Cao, Herba Patriniae / Bai Tou Weng, Radix Pulsatillae _ / Bai Xian Pi, Cortex Dictamni Radicis / Ban Lan Gen, Radix Isatidis / Chuan Xin Lian, Herba Andrographis / Da Qing Ye, Folium Isatidis / Guan Zhong, Rhizoma Dryopteridis / Hai Jin Sha, Spora Lygodii / HongTeng, Caulis Sargentodoxae / Jin Yin Hua, Flos Lonicerae / Lian Qiao, Fructus Forsythiae / Ma Chi Xian, Herba Portuiacae / Ma Bo, Fructificatio Lasiosphaerae / Pu Gong Ying, Herba Taraxaci / Shan Dou Gen, Radix Sophorae Subprostratae / She Gan, Rhizoma Belamcandae / Shi Shang Bai, Herba Selaginellae / Tu Fu Ling, Rhizoma Smilacis / Ya Dan Zi, Fructus Bruceae / Yu Xing Cao, Herba Houttuyniae / Zi Hua Di Ding, Herba Violae",
Bai Hua She She Cao,Herba Oldeniandiae,Oldenlandia diffusa (Willd.) Roxb.,plante entière,amère et douce,froide,"Zu Jue Ming Foie, Zu Yang Ming Estomac et Shou Yang Ming Gros Intestin",Clarifie la chaleur / Libère les toxiques / Disperse les enflures / Active le Sang / Elimine la stase sanguine / Règle l’eau / Elimine la chaleur-humidité / Ouvre le Lin,"Chaleur toxique produisant des abcès et tumeurs, notamment dans les Intestins. / Chaleur-humidité avec dysurie. / Chaleur-humidité avec jaunisse.","Plus Bai Jiang Cao, Herba Patriniae pour la chaleur toxique avec abcès intestinaux. / Plus Jin Yin Hua, Flos Lonicerae et Lian Qiao, Fructus Forsythiae pour la chaleur toxique produisant des furoncles et des enflures toxiques. / Plus Zhi Zi, Fructus Gardeniae, Huang Bai, Cortex Phellodendri et Yin Chen Hao, Herba Artemisiae Capillaris pour la chaleur-humidité causant la jaunisse. / Plus Bai Mao Gen, Rhizoma Imperatae, Che Qian Zi, Semen Plantaginis et Fu Ling, Sclerotium Po- riae pour la chaleur toxique avec difficultés urinaires.",15 à 60 g en décoction.,,la grossesse.,"antimicrobien, promoteur de la phagocytose, antinéoplastique.",,
Bai Jiang Cao,Herba Patriniae Herba Thlaspi,Patrinia scabiosaefolia Fisch.,plante entière,amère et piquante,légèrement froide,"Zu Yang Ming Estomac, Shou Yang Ming Gros Intestin et Zu Jue Yin Foie",Elimine la chaleur et les toxiques / Elimine le pus et traite les abcès / Active la circulation du Sang et élimine les stases. / Calme la douleur / Calme le Shen,"Congestions de chaleur et de feu toxique internes et externes et notamment abcès du Poumon et des Intestins. / Stase de Sang induite par la chaleur, surtout dans l’abdomen et le thorax et causant des douleurs. Egalement douleurs post-opératoires. / Chaleur causant l’irritation, l’insomnie, la folie.","Plus Jin Yin Hua, Flos Lonicerae pour la chaleur toxique avec abcès purulents. / Plus Pu Gong Ying, Herba Taraxaci et Jin Yin Hua, Flos Lonicerae pour la chaleur toxique avec abcès intestinaux, fièvre, douleur abdominale et costale, douleur abdominale post partum, douleur, rougeur et gonflement des yeux. / Plus Chi Shao, Radix Paeoniae Rubrae pour la stase de Sang causant des douleurs abdominales et la fièvre. / Plus Yi Yi Ren, Semen Coicis pour les purulences causées par la chaleur-humidité rémanente.",6 à 30 g en décoction. Utilisation interne ou externe.,,vide de Rate et Estomac.,,Yi Yi Fu Zi Bai Jiang San,
Bai Tou Weng,Radix Pulsatillae,Pulsatilla chinensis (Bge.) Reg.,racine,amère,froide,Shou Yang Ming Gros Intestin,Elimine la chaleur et les toxiques / Rafraîchit le Sang / Elimine la chaleur-humidité / Traite la dysenterie,Chaleur et feu toxique ou chaleur-humidité dans l’Estomac et les Intestins causant la diarrhée ou la dysenterie.,"Plus Huang Bai, Cortex Phellodendri, Huang Lian, Rhizoma Coptidis et Qin Pi, Cortex Fraxini pour la diarrhée et la dysenterie par chaleur-humidité dans les Intestins et l’Estomac. / Plus Ku Shen, Radix Sophorae pour le traitement externe de la leucorrhée et des démangeaisons.",6 à 15 g en décoction.,,diarrhée et dysenterie par vide de Rate et d’Estomac.,"bactériostatique, inhibe les amibes, sédatif, analgésique, antiparasitique, anti-scrofuleux.","Le Bai Tou Weng, Radix Pulsatillae n’est pas communément disponible dans les circuits des herboristeries. Il y est remplacé par Bai Tou Weng, Herba Potentillae Chinensis, qui a les mêmes caractéristiques.",
Bai Xian Pi,Cortex Dictamni Radicis,Dictamnus dasycarpus Turcz,écorce,amère et salée,froide,"Zu Tai Yin Rate, Zu Yang Ming Estomac, Zu Tai Yang Vessie et Shou Tai Yang Intestin Grêle.",Elimine la chaleur et les toxiques / Disperse le vent et transforme l’humidité,"Les atteintes dermatologiques causées par la chaleur, le feu toxique, le vent, l’humidité, la chaleur- humidité, tels que les furoncles, les pustules et les eczémas. / Douleurs Bi par atteinte vent-humidité. / Chaleur-humidité avec dysurie et douleurs génitales.","Plus Ku Shen, Radix Sophorae pour la chaleur-humidité causant le prurit. / Plus Ku Shen, Radix Sophorae et She Chuang Zi, Fructus Cnidii Monnieri pour les démangeaisons par vent-froid-humidité ou les parasites. On peut utiliser cette combinaison en compresses ou en lotion. / Plus Fang Feng, Radix Ledebourelliae et Bai Ji Li, Fructus Tribuli pour l’eczéma.",6 à 9 g en décoction.,,froid vide.,"antifongique, stimulant cardiaque, activateur musculaire.",Bai Xian Pi San,
Ban Lan Gen,Radix lsatidis,Baphicanthus cusia (Nees) Brem.,racine,amère,froide,Shou Shao Yin Coeur et Shou Tai Yin Poumon,Clarifie la chaleur / Elimine les toxiques / Favorise la gorge / Elimine la chaleur-humidité,"Chaleur épidémique dans le Qi et le Sang avec fièvre importante, soif, agitation, éruptions. / Chaleur dans le Sang produisant des éruptions rouges. / Chaleur-humidité causant la jaunisse.","Plus Xuan Shen, Radix Scrophulariae et Zhi Mu, Rhizoma Anemarrhenae pour la chaleur toxique avec gonflement et douleur de la gorge. / Plus Jin Yin Hua, Flos Lonicerae, Lian Qiao, Fructus Forsythiae et Sheng Shi Gao, Gypsum Fibrosum en cas de fièvre, agitation, gorge sèche et soif. / Plus Niu Bang Zi, Fructus Arctii et Bai Jiang Cao, Herba Patriniae pour la chaleur toxique causant les oreillons avec douleur et gonflement de la gorge. / Plus Yin Chen Hao, Herba Artemisiae Capillaris pour la chaleur- humidité du Foie et de la Vésicule Biliaire causant la jaunisse.",vide général et absence de feu toxique.,,,"bactériostatique, antiviral.",Pu Ji Xiao Du Yin,"les effets de cette planté sont similaires à ceux de Da Qing Ye, Folium Isatidis, bien que moins puissants, la racine étant moins froide et moins amère que la feuille."
Chuan Xin Lian,Herba Andrographis,Andrographis paniculata (Burm.f.) Nees,plante entière,amère,froide,"Shou Tai Yin Poumon, Shou Shao Yin Coeur, Zu Yang Ming Estomac, Shou Yang Ming Gros Intestin et Shou Tai Yang Intestin Grêle",Clarifie la chaleur et élimine les toxiques / Clarifie la chaleur et élimine l’humidité,"Maladies fébriles saisonnières ou vent-chaleur, avec fièvre élevée, soif, mal de gorge, toux, asthme par chaleur du Poumon, abcès pulmonaire, états inflammatoires de la peau. / Chaleur-humidité avec dysurie et jaunisse.","Plus Chen Pi, Pericarpium Citri Reticulatae pour la toux par chaleur dans le Poumon.","9 à 15 g en décoction ; 1 à 1,5 g en poudre.",,,"bactériostatique, promoteur de la phagocytose, antipyrétique, analgésique, vasodilatateur.","Cette herbe peut remplacer Huang Lian, Rhizoma Coptidis.",
Da Qing Ye,Folium Isatidis,Isatis tinctoria L.,feuille,amère,froide,"Shou Shao Yin Coeur, Shou Tai Yin Poumon et Zu Yang Ming Estomac",Elimine la chaleur et les toxiques / Rafraîchit le Sang / Fait disparaître les éruptions,"Chaleur épidémique dans le Qi et le Sang avec fièvre importante, soif, agitation, éruptions. / Chaleur dans le Sang produisant des éruptions rouges.","Plus Jin Yin Hua, Flos Lonicerae pour les enflures chaudes par chaleur toxique, telles que l’érysipèle, les oreillons, le mal de gorge. / Plus Sheng Shi Gao, Gypsum Fibrosum pour la chaleur externe avec fièvre, soif, irritabilité, mal de gorge. / Plus She Gan, Rhizoma Belamcandae et Shan Dou Gen, Radix Sophorae Subprostratae pour la chaleur toxique causant tous types de douleurs et de gonflement de la gorge, y compris la diphtérie et la tonsillite. / Plus Xi Jiao, Cornu Rhinoceri pour les hémorragies causées par la pénétration de la chaleur dans le niveau du Sang. / Plus Dan Shen, Radix Salviae Miltiorrhizae, Yu Jin, Radix Curcumae et Long Dan Cao, Radix Gentia- nae Scabrae pour la chaleur-humidité du Foie et de la Vésicule Biliaire. / Les mêmes herbes plus Tao Ren, Semen Persicae, Hong Hua, Flos Carthami et Bie Jia, Carapax Amydae s’il y a une masse palpable dans la région hypochondriaque.",9 à 15 q en décoction.,,froid vide de Rate et Estomac.,"anti-microbien, anti-viral.",il faut l’avaler telle quelle.,
Guan Zhong,Rhizoma Dryopteridis,Matteuccia struthiopteris (L.) Todaro,rhizome,amère,froide et légèrement toxique,Zu Jue Yin Foie et Zu Tai Yin Rate,Elimine la chaleur et les toxiques / Arrête l’hémorragie / Chasse les parasites / Traite la calvitie et les éruptions sur la tête.,"Chaleur-humidité ou chaleur épidémique avec é- ruptions, lésions de la peau, furoncles, oreilons. / Parasites intestinaux. / Plénitude chaleur avec hémorragie utérine. / Calvitie.","Plus Shi Jun Zi, Fructus Quisqualis, Lei Wan, Fruc- tificatio Polypori et Bing Lang, Semen Arecae pour les parasites intestinaux. / Plus Jin Yin Hua, Flos Lonicerae, Lian Qiao, Fructus Forsythiae et Pu Gong Ying, Herba Taraxaci pour les furoncles et les oreillons par attaque de chaleur toxique. / Plus Ce Bai Ye, Cacumen Biotae pour l’hémorragie utérine par chaleur du Sang.",3 à 15 g en décoction.,"irritation gastro-intestinale, vomissement, diarrhée.",la grossesse; le vide.,"antiviral, antimicrobien, antiparasitaire, stimulateur utérin, abortif, hémostatique.",cette herbe s’utilise actuellement comme un préventif contre les grippes épidémiques. Sa variante toxique est très peu utilisée et suppose la plus grande prudence.,
Hai Jin Sha,Spora Lygodii Japonici,Lygodium japonicum (Thunb.) Sw.,spores,douce,froide,Zu Tai Yang Vessie et Shou Tai Yang Intestin Grêle,Clarifie la chaleur et élimine les toxiques. / Ouvre la diurèse.,"Humidité-chaleur de la Vessie, éventuellement a vec présence de lithiase et d’hématurie.","Plus Bian Xu, Herba Polygoni Avicularis pour le syndrome Lin par chaleur-humidité.",9 à 15 g en décoction (envelopper dans un sachet en coton).,,,antimicrobien.,Hai Jin Sha San,
Da Xue Teng,Caulis Sargentodoxae,Sargentodoxa Cuneata (Oliv.) Rehd.et Wils.,tige,amère,neutre,Shou Yang Ming Gros Intestin et Zu Yang Ming Estomac,Clarifie la chaleur et élimine les toxiques / Traite les furoncles / Disperse les amas / Active le sang / Elimine les stases de Sang / Chasse le vent / Ouvre les méridiens,Stagnation de chaleur toxique causant l’abcès intestinal. / Chaleur toxique dans l’intestin causant la dysenterie. / Stagnation de Sang causant la dysménorrhée. / □ Traumatismes par injure externe. / Syndromes Bi avec stagnation de Sang et vent dans les méridiens.,"Plus Jin Yin Hua, Flos Lonicerae et Chi Shao, Radix Paeoniae Rubrae pour le traitement de l’abcès intestinal et la dysenterie marquées par la chaleur toxique et la stase de Sang. / Plus Mu Dan Pi, Cortex Moutan Radicis, Jin. Yin Hua, Flos Lonicerae, Lian Qiao, Fructus Forsythiae et Yi Yi Ren, Semen Coicis pour la plénitude chaleur dans le foyer inférieur.",15 à 30 g en décoction.,,,bactériostatique. / Hong Teng Jian,,
Jin Yin Hua,Flos Lonicerae,Lonicera japonica Thunb. L. hypoglauca Miq.,fleur,douce et aromatique,froide,"Shou Tai Yin Poumon, Zu Yang Ming Estomac et Shou Yang Ming Gros Intestin",Clarifie la chaleur et libère les toxiques / Elimine la chaleur-humidité dans le réchauffeur inférieur / Libère la surface du vent-chaleur externe / Elimine la chaleur caniculaire,"Vent-chaleur externe attaquant le Wei et le Qi avec fièvre, crainte du vent, frissons légers, gorge douloureuse, céphalée. / Chaleur et feu toxique causant des enflures chaudes, furoncles, abcès, etc., notamment des seins, des yeux et de la gorge. / Maladies dysentériques et Lin par chaleur-humidité dans le foyer inférieur. / Attaque externe de chaleur caniculaire.","Plus Lian Qiao, Fructus Forsythiae et Jing Jie, Herba Schizonepetae, polir les attaques externes de vent-chaleur. / Plus Huang Qin, Radix Scutellariae et Di Yu, Radix Sanguisorbae pour les troubles dysentériques causés par la chaleur-humidité. / Plus Sheng Shi Gao, Gypsum Fibrosum et Zhi Mu, Rhizoma Anemarrhenae pour la chaleur dans le Qi, avec fièvre, soif, enduit lingual jaune et pouls fort et rapide. / Plus Mu Dan Pi, Cortex Moutan Radicis et Sheng Di Huang,Radix Rehmanniae pour la chaleur pénétrant dans le Ying et le Sang avec fièvre, agitation, insomnie, éruptions cutanées, langue rouge foncé. / Plus Pu Gong Ying, Herba Taraxaci et Ye Ju Hua, Flos Chrysanthemi Indici pour la chaleur toxique avec mal de gorge et infections cutanées.",9 à 15 g en décoction.,,diarrhée par froid vide de la Rate et de l’Estomac; ulcères et abcès Yin (produisant des exsudats clairs).,"antibactérien, antiviral, diminue le cholestérol, anti-inflammatoire, antipyrétique, promoteur de la phagocytose.",pour traiter la chaleur-humidité du foyer inférieur il faudra préparer une décoction concentrée et longue de la plante. Ou bien il faudra carboniser l’herbe avant la décoction. Dans la seconde forme elle sera plus astringente et hémostatique.,
Lian Qiao,Fructus Forsythiae,Forsythia suspensa (Thunb.)Vahl.,fruit,amère et légèrement piquante,fraîche,"Shou Tai Yin Poumon, Shou Shao Yin Coeur et Zu Shao Yang Vésicule Biliaire",Elimine la chaleur et les toxiques / Disperse les nodosités et les stagnations / Libère la surface du vent-chaleur,"Nodules chauds par chaleur toxique, tels que furoncles, masses dans le cou, etc. / Vent-chaleur externe avec fièvre, frissons légers, douleur de la gorge, céphalée. / Chaleur dans la couche du Qi avec fièvre, soif, pouls plein et rapide. / Chaleur pénétrant le Péricarde avec fièvre, agitation, perte de conscience.","Plus Ban Lan Gen, Radix Isatidis pour toutes les maladies de la chaleur, surtout avec formation de feu toxique. / Plus Ma Huang, Herba Ephedrae, Chi Shao, Radix Paeoniae Rubrae et Gan Cao, Radix Glycyrrhjzae pour les éruptions.",6 à 16 g en décoction.,,vide de Rate et Estomac avec diarrhée; fièvre par vide de Qi; furoncles ulcérés; ulcères Yin.,"antibactérien, cardiotonique, diurétique, anti-inflammatoire, anti-émétique, antiparasitique.","Lian Qiao, Fructus Forsythiae a une tendance montante et affecte principalement le foyer supérieur.",
